mine_id,name,source,deposit_type,rock_type,lat,lon,swir_b11_absorption,swir_b12_absorption,ndvi,land_surface_temp_c,rainfall_mm_weekly,soil_moisture,emag2_anomaly_nt,elevation_m,mn_grade_pct,ibm_ore_category,has_manganese,craton_province,commodity,label_confidence,region_group,source_url,is_synthetic
WASTE_0082,Deccan_Basalt_WesternGhats_20,IBM_Sterilization_Survey,Overburden_Gangue,Deccan_Basalt,18.6221,73.7896,0.228,0.188,0.439,30.4,90.7,0.264,63.1,630.0,1.7,Overburden_Waste,0,Peninsular_Barren,unknown_non_mn,synthetic_or_unverified,Peninsular_Barren,,True
MN_047,Patmunda Beneficiable Ore,MOIL_GSI_Official,Beneficiable_SubEconomic,Gondite_Series,21.87,85.31,0.706,0.63,0.304,36.3,32.4,0.206,348.1,527.0,23.5,Beneficiable_MR_Ore,1,Singhbhum,manganese,prototype_positive,Singhbhum,,True
WASTE_0083,IndoGangetic_Alluvium_Barren_1,IBM_Sterilization_Survey,Overburden_Gangue,Alluvium,28.4796,83.392,0.254,0.226,0.422,34.4,37.6,0.425,56.7,159.0,1.6,Overburden_Waste,0,Peninsular_Barren,unknown_non_mn,synthetic_or_unverified,Peninsular_Barren,,True
WASTE_0070,Deccan_Basalt_WesternGhats_8,IBM_Sterilization_Survey,Overburden_Gangue,Deccan_Basalt,18.1413,75.8268,0.373,0.315,0.523,33.1,94.8,0.369,61.6,688.0,1.9,Overburden_Waste,0,Peninsular_Barren,unknown_non_mn,synthetic_or_unverified,Peninsular_Barren,,True
MN_022,Netra Beneficiable Block,MOIL_GSI_Official,Beneficiable_SubEconomic,Gondite_Series,21.88,80.12,0.718,0.618,0.321,35.8,43.6,0.212,361.3,390.0,22.0,Beneficiable_MR_Ore,1,CITZ_Sausar,manganese,prototype_positive,CITZ_Sausar,,True
WASTE_0071,Deccan_Basalt_WesternGhats_9,IBM_Sterilization_Survey,Overburden_Gangue,Deccan_Basalt,19.7453,75.0991,0.212,0.191,0.622,30.2,108.8,0.292,64.8,707.0,2.8,Overburden_Waste,0,Peninsular_Barren,unknown_non_mn,synthetic_or_unverified,Peninsular_Barren,,True
MN_034,Chhindwara Node,MOIL_GSI_Official,Marketable_Direct,Gondite_Series,22.05,78.93,0.767,0.666,0.263,36.5,44.5,0.226,413.6,673.0,27.5,Marketable_Saleable,1,CITZ_Sausar,manganese,prototype_positive,CITZ_Sausar,,True
MN_046,Koira Block,MOIL_GSI_Official,Marketable_Direct,Gondite_Series,21.93,85.24,0.751,0.666,0.282,36.0,32.9,0.244,415.9,553.0,28.0,Marketable_Saleable,1,Singhbhum,manganese,prototype_positive,Singhbhum,,True
MN_060_EXT,Vizag Mn Zone - Extension Zone,GSI_Extension_Survey,Marketable_Direct,Gondite_Series,18.108,83.2112,0.722,0.647,0.268,36.9,41.9,0.248,431.8,116.0,25.0,Marketable_Saleable,1,Eastern_Ghats,manganese,prototype_positive,Eastern_Ghats,,True
WASTE_0003,Sausar_Calc_Silicate_Barren_3,IBM_Sterilization_Survey,Overburden_Gangue,Calc_Silicate,21.5974,79.0802,0.433,0.4,0.528,35.3,50.8,0.437,162.2,370.0,6.9,Overburden_Waste,0,CITZ_Sausar,unknown_non_mn,synthetic_or_unverified,CITZ_Sausar,,True
WASTE_0123,Southern_Sedimentary_Barren_1,IBM_Sterilization_Survey,Overburden_Gangue,Sedimentary,12.8528,78.0379,0.337,0.288,0.505,30.1,97.7,0.254,55.8,72.0,1.0,Overburden_Waste,0,Dharwar,unknown_non_mn,synthetic_or_unverified,Dharwar,,True
WASTE_0129,Southern_Sedimentary_Barren_7,IBM_Sterilization_Survey,Overburden_Gangue,Sedimentary,13.8511,77.7041,0.227,0.192,0.584,32.6,46.0,0.493,64.1,174.0,0.6,Overburden_Waste,0,Dharwar,unknown_non_mn,synthetic_or_unverified,Dharwar,,True
WASTE_0067,Deccan_Basalt_WesternGhats_5,IBM_Sterilization_Survey,Overburden_Gangue,Deccan_Basalt,18.3869,74.7353,0.31,0.275,0.488,28.4,94.0,0.31,86.4,692.0,0.3,Overburden_Waste,0,Peninsular_Barren,unknown_non_mn,synthetic_or_unverified,Peninsular_Barren,,True
WASTE_0099,IndoGangetic_Alluvium_Barren_17,IBM_Sterilization_Survey,Overburden_Gangue,Alluvium,28.7605,80.405,0.258,0.216,0.639,31.1,37.9,0.259,42.5,206.0,0.9,Overburden_Waste,0,Peninsular_Barren,unknown_non_mn,synthetic_or_unverified,Peninsular_Barren,,True
MN_024,Waraseoni Low-Grade Horizon,MOIL_GSI_Official,Beneficiable_SubEconomic,Gondite_Series,21.75,80.02,0.69,0.616,0.247,34.3,45.8,0.216,318.0,385.0,19.5,Beneficiable_MR_Ore,1,CITZ_Sausar,manganese,prototype_positive,CITZ_Sausar,,True
MN_039_EXT,Kasia Mine - Extension Zone,GSI_Extension_Survey,Marketable_Direct,Gondite_Series,22.0532,85.4257,0.791,0.699,0.299,36.8,41.0,0.24,492.7,516.0,34.2,Marketable_Saleable,1,Singhbhum,manganese,prototype_positive,Singhbhum,,True
MN_035,Tirodi South Beneficiation Wing,MOIL_GSI_Official,Beneficiable_SubEconomic,Gondite_Series,21.57,79.68,0.673,0.595,0.311,35.7,33.2,0.228,315.5,389.0,18.5,Beneficiable_MR_Ore,1,CITZ_Sausar,manganese,prototype_positive,CITZ_Sausar,,True
MN_038_EXT,Barbil Deposit - Extension Zone,GSI_Extension_Survey,Marketable_Direct,Gondite_Braunite,22.1248,85.3886,0.783,0.721,0.357,34.0,45.7,0.285,490.2,481.0,34.1,Marketable_Saleable,1,Singhbhum,manganese,prototype_positive,Singhbhum,,True
WASTE_0077,Deccan_Basalt_WesternGhats_15,IBM_Sterilization_Survey,Overburden_Gangue,Deccan_Basalt,18.9024,73.8788,0.315,0.271,0.607,29.8,97.8,0.334,37.7,502.0,2.4,Overburden_Waste,0,Peninsular_Barren,unknown_non_mn,synthetic_or_unverified,Peninsular_Barren,,True
WASTE_0138,Southern_Sedimentary_Barren_16,IBM_Sterilization_Survey,Overburden_Gangue,Sedimentary,10.1796,79.5547,0.228,0.198,0.523,30.9,94.1,0.325,141.8,240.0,1.9,Overburden_Waste,0,Peninsular_Barren,unknown_non_mn,synthetic_or_unverified,Peninsular_Barren,,True
MN_023_EXT,Jamrapani Beneficiable Ore - Extension Zone,GSI_Extension_Survey,Beneficiable_SubEconomic,Gondite_Series,21.9171,80.1794,0.712,0.633,0.322,33.9,35.3,0.266,422.8,383.0,22.9,Beneficiable_MR_Ore,1,CITZ_Sausar,manganese,prototype_positive,CITZ_Sausar,,True
MN_056_EXT,Donimalai North Beneficiable - Extension Zone,GSI_Extension_Survey,Beneficiable_SubEconomic,Gondite_Series,15.0749,76.6349,0.71,0.618,0.323,37.0,49.7,0.271,382.6,890.0,17.9,Beneficiable_MR_Ore,1,Dharwar,manganese,prototype_positive,Dharwar,,True
MN_031,Nagbhir Belt,MOIL_GSI_Official,Marketable_Direct,Gondite_Series,20.55,79.51,0.77,0.699,0.276,36.2,44.1,0.256,410.1,368.0,28.0,Marketable_Saleable,1,CITZ_Sausar,manganese,prototype_positive,CITZ_Sausar,,True
WASTE_0078,Deccan_Basalt_WesternGhats_16,IBM_Sterilization_Survey,Overburden_Gangue,Deccan_Basalt,18.9286,75.5825,0.283,0.242,0.546,35.5,100.3,0.48,33.7,541.0,0.8,Overburden_Waste,0,Peninsular_Barren,unknown_non_mn,synthetic_or_unverified,Peninsular_Barren,,True
WASTE_0004,Sausar_Calc_Silicate_Barren_4,IBM_Sterilization_Survey,Overburden_Gangue,Calc_Silicate,21.6842,79.0865,0.372,0.337,0.641,29.4,99.1,0.398,138.0,366.0,6.9,Overburden_Waste,0,CITZ_Sausar,unknown_non_mn,synthetic_or_unverified,CITZ_Sausar,,True
MN_016,Ramrama Deposit,MOIL_GSI_Official,Marketable_Direct,Gondite_Series,21.45,79.15,0.756,0.689,0.289,35.0,40.3,0.192,411.3,383.0,32.5,Marketable_Saleable,1,CITZ_Sausar,manganese,prototype_positive,CITZ_Sausar,,True
MN_012,Sausar North Block,MOIL_GSI_Official,Marketable_Direct,Gondite_Series,21.64,78.78,0.75,0.681,0.302,36.3,35.1,0.24,403.3,366.0,28.5,Marketable_Saleable,1,CITZ_Sausar,manganese,prototype_positive,CITZ_Sausar,,True
MN_013,Sausar South Block,MOIL_GSI_Official,Marketable_Direct,Gondite_Series,21.58,78.72,0.762,0.674,0.312,35.8,40.1,0.224,386.8,369.0,26.5,Marketable_Saleable,1,CITZ_Sausar,manganese,prototype_positive,CITZ_Sausar,,True
MN_064_EXT,Devada Low-Grade Body - Extension Zone,GSI_Extension_Survey,Beneficiable_SubEconomic,Gondite_Series,18.2635,83.5892,0.673,0.626,0.305,34.2,46.7,0.265,362.6,73.0,14.8,Beneficiable_MR_Ore,1,Eastern_Ghats,manganese,prototype_positive,Eastern_Ghats,,True
WASTE_0037,Nagpur_Quartzite_Interbed_15,IBM_Sterilization_Survey,Overburden_Gangue,Quartzite_Interbed,21.1292,79.498,0.447,0.399,0.478,29.0,101.5,0.385,166.2,368.0,2.2,Overburden_Waste,0,CITZ_Sausar,unknown_non_mn,synthetic_or_unverified,CITZ_Sausar,,True
MN_040_EXT,Guruda Mine - Extension Zone,GSI_Extension_Survey,Marketable_Direct,Gondite_Series,21.9862,85.3008,0.79,0.694,0.339,36.0,42.5,0.282,458.0,553.0,33.3,Marketable_Saleable,1,Singhbhum,manganese,prototype_positive,Singhbhum,,True
WASTE_0125,Southern_Sedimentary_Barren_3,IBM_Sterilization_Survey,Overburden_Gangue,Sedimentary,13.854,78.9014,0.292,0.251,0.643,29.0,36.3,0.481,127.3,154.0,2.0,Overburden_Waste,0,Peninsular_Barren,unknown_non_mn,synthetic_or_unverified,Peninsular_Barren,,True
WASTE_0098,IndoGangetic_Alluvium_Barren_16,IBM_Sterilization_Survey,Overburden_Gangue,Alluvium,25.584,81.8437,0.247,0.213,0.553,32.8,62.3,0.315,76.9,184.0,0.1,Overburden_Waste,0,Peninsular_Barren,unknown_non_mn,synthetic_or_unverified,Peninsular_Barren,,True
MN_061,Srikakulam Block,MOIL_GSI_Official,Marketable_Direct,Gondite_Series,18.3,83.89,0.76,0.665,0.301,36.0,35.7,0.252,417.9,81.0,26.0,Marketable_Saleable,1,Eastern_Ghats,manganese,prototype_positive,Eastern_Ghats,,True
WASTE_0057,Balaghat_Laterite_Overburden_15,IBM_Sterilization_Survey,Overburden_Gangue,Laterite_Overburden,21.8201,79.9032,0.463,0.403,0.571,36.0,105.0,0.443,182.1,426.0,2.6,Overburden_Waste,0,CITZ_Sausar,unknown_non_mn,synthetic_or_unverified,CITZ_Sausar,,True
WASTE_0106,Aravalli_Quartzite_Marble_2,IBM_Sterilization_Survey,Overburden_Gangue,Quartzite_Marble,27.443,74.6919,0.373,0.332,0.579,31.1,73.3,0.398,101.4,329.0,1.8,Overburden_Waste,0,Peninsular_Barren,unknown_non_mn,synthetic_or_unverified,Peninsular_Barren,,True
WASTE_0029,Nagpur_Quartzite_Interbed_7,IBM_Sterilization_Survey,Overburden_Gangue,Quartzite_Interbed,21.3466,79.4562,0.397,0.366,0.577,29.0,97.0,0.485,166.1,320.0,3.4,Overburden_Waste,0,CITZ_Sausar,unknown_non_mn,synthetic_or_unverified,CITZ_Sausar,,True
MN_004,Kandri Mine,MOIL_GSI_Official,Marketable_Direct,Gondite_Braunite,21.2,79.3,0.791,0.696,0.269,35.4,35.8,0.248,447.5,392.0,40.5,Marketable_Saleable,1,CITZ_Sausar,manganese,prototype_positive,CITZ_Sausar,,True
WASTE_0100,IndoGangetic_Alluvium_Barren_18,IBM_Sterilization_Survey,Overburden_Gangue,Alluvium,26.7804,78.2002,0.125,0.114,0.385,35.6,58.5,0.517,66.0,249.0,0.8,Overburden_Waste,0,Peninsular_Barren,unknown_non_mn,synthetic_or_unverified,Peninsular_Barren,,True
MN_037_EXT,Joda West Mine - Extension Zone,GSI_Extension_Survey,Marketable_Direct,Gondite_Braunite,22.0154,85.4121,0.802,0.703,0.275,35.4,42.5,0.214,488.4,517.0,35.5,Marketable_Saleable,1,Singhbhum,manganese,prototype_positive,Singhbhum,,True
MN_043,Barajamda Block,MOIL_GSI_Official,Marketable_Direct,Braunite_Series,22.1,85.15,0.766,0.683,0.304,34.5,40.1,0.232,419.8,488.0,28.5,Marketable_Saleable,1,Singhbhum,manganese,prototype_positive,Singhbhum,,True
MN_029,Lohangi Block,MOIL_GSI_Official,Marketable_Direct,Gondite_Series,21.52,79.56,0.765,0.672,0.309,37.3,43.9,0.207,390.8,363.0,25.5,Marketable_Saleable,1,CITZ_Sausar,manganese,prototype_positive,CITZ_Sausar,,True
MN_013_EXT,Sausar South Block - Extension Zone,GSI_Extension_Survey,Marketable_Direct,Gondite_Series,21.569,78.6962,0.735,0.684,0.351,35.0,34.2,0.284,451.8,361.0,26.6,Marketable_Saleable,1,CITZ_Sausar,manganese,prototype_positive,CITZ_Sausar,,True
MN_049_EXT,Chaibasa South Beneficiable - Extension Zone,GSI_Extension_Survey,Beneficiable_SubEconomic,Gondite_Series,22.5384,85.8094,0.735,0.64,0.287,35.7,44.1,0.231,388.6,230.0,22.1,Beneficiable_MR_Ore,1,Singhbhum,manganese,prototype_positive,Singhbhum,,True
WASTE_0008,Sausar_Calc_Silicate_Barren_8,IBM_Sterilization_Survey,Overburden_Gangue,Calc_Silicate,21.7626,78.9683,0.498,0.42,0.509,35.5,38.0,0.287,147.0,346.0,1.7,Overburden_Waste,0,CITZ_Sausar,unknown_non_mn,synthetic_or_unverified,CITZ_Sausar,,True
MN_010_EXT,Beldongri Mine - Extension Zone,GSI_Extension_Survey,Marketable_Direct,Gondite_Braunite,21.1419,79.2521,0.817,0.729,0.326,36.8,42.9,0.252,478.3,408.0,36.0,Marketable_Saleable,1,CITZ_Sausar,manganese,prototype_positive,CITZ_Sausar,,True
MN_044,Keonjhar Main Belt,MOIL_GSI_Official,Marketable_Direct,Gondite_Series,21.62,85.58,0.757,0.667,0.27,36.8,32.1,0.213,428.9,463.0,30.0,Marketable_Saleable,1,Singhbhum,manganese,prototype_positive,Singhbhum,,True
MN_069_EXT,Sivnia Block Rajasthan - Extension Zone,GSI_Extension_Survey,Beneficiable_SubEconomic,Gondite_Series,23.3766,74.5418,0.719,0.647,0.331,36.7,39.4,0.275,417.3,313.0,21.2,Beneficiable_MR_Ore,1,Aravalli,manganese,prototype_positive,Aravalli,,True
WASTE_0045,Balaghat_Laterite_Overburden_3,IBM_Sterilization_Survey,Overburden_Gangue,Laterite_Overburden,21.6411,80.4775,0.458,0.418,0.386,32.9,93.1,0.443,198.2,383.0,6.5,Overburden_Waste,0,CITZ_Sausar,unknown_non_mn,synthetic_or_unverified,CITZ_Sausar,,True
MN_003_EXT,Gumgaon Mine - Extension Zone,GSI_Extension_Survey,Marketable_Direct,Gondite_Braunite,21.0406,79.101,0.819,0.762,0.354,37.1,43.6,0.284,531.9,433.0,41.7,Marketable_Saleable,1,CITZ_Sausar,manganese,prototype_positive,CITZ_Sausar,,True
MN_063,Kodur Manganese Horizon,MOIL_GSI_Official,Beneficiable_SubEconomic,Gondite_Series,18.28,83.55,0.678,0.591,0.327,35.2,40.9,0.255,293.6,98.0,18.0,Beneficiable_MR_Ore,1,Eastern_Ghats,manganese,prototype_positive,Eastern_Ghats,,True
WASTE_0095,IndoGangetic_Alluvium_Barren_13,IBM_Sterilization_Survey,Overburden_Gangue,Alluvium,27.4048,77.328,0.145,0.128,0.604,33.5,67.2,0.452,105.6,222.0,0.6,Overburden_Waste,0,Peninsular_Barren,unknown_non_mn,synthetic_or_unverified,Peninsular_Barren,,True
WASTE_0055,Balaghat_Laterite_Overburden_13,IBM_Sterilization_Survey,Overburden_Gangue,Laterite_Overburden,21.9971,79.8651,0.496,0.436,0.518,32.5,80.3,0.453,166.5,424.0,6.6,Overburden_Waste,0,CITZ_Sausar,unknown_non_mn,synthetic_or_unverified,CITZ_Sausar,,True
WASTE_0033,Nagpur_Quartzite_Interbed_11,IBM_Sterilization_Survey,Overburden_Gangue,Quartzite_Interbed,21.1884,79.3935,0.324,0.299,0.579,29.4,72.7,0.37,153.8,377.0,5.6,Overburden_Waste,0,CITZ_Sausar,unknown_non_mn,synthetic_or_unverified,CITZ_Sausar,,True
MN_008_EXT,Tirodi Mine - Extension Zone,GSI_Extension_Survey,Marketable_Direct,Gondite_Braunite,21.5876,79.6999,0.826,0.727,0.31,33.7,38.5,0.283,528.2,378.0,42.2,Marketable_Saleable,1,CITZ_Sausar,manganese,prototype_positive,CITZ_Sausar,,True
MN_006,Chikla Mine,MOIL_GSI_Official,Marketable_Direct,Gondite_Braunite,21.1,79.15,0.83,0.751,0.278,34.1,33.5,0.192,535.3,419.0,41.2,Marketable_Saleable,1,CITZ_Sausar,manganese,prototype_positive,CITZ_Sausar,,True
WASTE_0018,Sausar_Calc_Silicate_Barren_18,IBM_Sterilization_Survey,Overburden_Gangue,Calc_Silicate,21.8041,78.6948,0.508,0.42,0.496,30.1,56.4,0.342,155.2,351.0,7.1,Overburden_Waste,0,CITZ_Sausar,unknown_non_mn,synthetic_or_unverified,CITZ_Sausar,,True
MN_019_EXT,Kheri Formation - Extension Zone,GSI_Extension_Survey,Marketable_Direct,Gondite_Series,21.9002,80.2678,0.757,0.669,0.263,35.8,49.0,0.256,462.5,394.0,30.6,Marketable_Saleable,1,CITZ_Sausar,manganese,prototype_positive,CITZ_Sausar,,True
MN_009,Parsoda Mine,MOIL_GSI_Official,Marketable_Direct,Hematite_Gondite,21.18,79.28,0.769,0.69,0.329,34.8,41.4,0.243,458.3,399.0,36.5,Marketable_Saleable,1,CITZ_Sausar,manganese,prototype_positive,CITZ_Sausar,,True
WASTE_0073,Deccan_Basalt_WesternGhats_11,IBM_Sterilization_Survey,Overburden_Gangue,Deccan_Basalt,19.9014,74.7533,0.377,0.339,0.478,29.3,35.9,0.418,48.3,715.0,2.3,Overburden_Waste,0,Peninsular_Barren,unknown_non_mn,synthetic_or_unverified,Peninsular_Barren,,True
WASTE_0108,Aravalli_Quartzite_Marble_4,IBM_Sterilization_Survey,Overburden_Gangue,Quartzite_Marble,25.8174,75.9644,0.379,0.313,0.538,35.4,36.4,0.393,119.3,403.0,4.0,Overburden_Waste,0,Peninsular_Barren,unknown_non_mn,synthetic_or_unverified,Peninsular_Barren,,True
MN_034_EXT,Chhindwara Node - Extension Zone,GSI_Extension_Survey,Marketable_Direct,Gondite_Series,22.0474,78.9316,0.735,0.658,0.292,34.3,39.2,0.22,411.0,696.0,26.0,Marketable_Saleable,1,CITZ_Sausar,manganese,prototype_positive,CITZ_Sausar,,True
WASTE_0133,Southern_Sedimentary_Barren_11,IBM_Sterilization_Survey,Overburden_Gangue,Sedimentary,13.9248,79.6415,0.329,0.28,0.648,33.7,108.6,0.421,69.7,240.0,2.4,Overburden_Waste,0,Peninsular_Barren,unknown_non_mn,synthetic_or_unverified,Peninsular_Barren,,True
MN_064,Devada Low-Grade Body,MOIL_GSI_Official,Beneficiable_SubEconomic,Gondite_Series,18.25,83.58,0.664,0.577,0.252,36.7,32.3,0.192,276.3,82.0,15.5,Beneficiable_MR_Ore,1,Eastern_Ghats,manganese,prototype_positive,Eastern_Ghats,,True
MN_070_EXT,Ghatia Horizon Banswara - Extension Zone,GSI_Extension_Survey,Beneficiable_SubEconomic,Gondite_Series,23.288,74.3674,0.702,0.599,0.294,34.2,46.6,0.263,389.2,297.0,15.6,Beneficiable_MR_Ore,1,Aravalli,manganese,prototype_positive,Aravalli,,True
WASTE_0130,Southern_Sedimentary_Barren_8,IBM_Sterilization_Survey,Overburden_Gangue,Sedimentary,12.5438,78.548,0.292,0.248,0.491,35.1,88.1,0.269,141.7,108.0,0.9,Overburden_Waste,0,Peninsular_Barren,unknown_non_mn,synthetic_or_unverified,Peninsular_Barren,,True
WASTE_0054,Balaghat_Laterite_Overburden_12,IBM_Sterilization_Survey,Overburden_Gangue,Laterite_Overburden,21.7842,80.114,0.514,0.476,0.559,28.0,81.5,0.357,199.2,405.0,6.3,Overburden_Waste,0,CITZ_Sausar,unknown_non_mn,synthetic_or_unverified,CITZ_Sausar,,True
WASTE_0056,Balaghat_Laterite_Overburden_14,IBM_Sterilization_Survey,Overburden_Gangue,Laterite_Overburden,22.0025,79.9889,0.527,0.464,0.585,33.7,94.1,0.405,165.9,397.0,2.6,Overburden_Waste,0,CITZ_Sausar,unknown_non_mn,synthetic_or_unverified,CITZ_Sausar,,True
MN_010,Beldongri Mine,MOIL_GSI_Official,Marketable_Direct,Gondite_Braunite,21.16,79.26,0.785,0.72,0.26,36.3,34.4,0.238,503.5,428.0,38.0,Marketable_Saleable,1,CITZ_Sausar,manganese,prototype_positive,CITZ_Sausar,,True
MN_058,Shimoga - Kumsi Belt,MOIL_GSI_Official,Beneficiable_SubEconomic,Gondite_Series,14.25,75.35,0.731,0.653,0.282,36.1,34.3,0.259,368.1,704.0,24.0,Beneficiable_MR_Ore,1,Dharwar,manganese,prototype_positive,Dharwar,,True
WASTE_0069,Deccan_Basalt_WesternGhats_7,IBM_Sterilization_Survey,Overburden_Gangue,Deccan_Basalt,19.955,75.816,0.185,0.154,0.499,28.8,84.3,0.497,130.0,612.0,1.7,Overburden_Waste,0,Peninsular_Barren,unknown_non_mn,synthetic_or_unverified,Peninsular_Barren,,True
MN_042,Bonai Deposit,MOIL_GSI_Official,Marketable_Direct,Gondite_Series,22.02,84.95,0.774,0.696,0.289,34.9,36.8,0.203,461.8,365.0,31.0,Marketable_Saleable,1,Singhbhum,manganese,prototype_positive,Singhbhum,,True
WASTE_0061,Balaghat_Laterite_Overburden_19,IBM_Sterilization_Survey,Overburden_Gangue,Laterite_Overburden,21.9828,79.9112,0.499,0.418,0.371,28.5,56.2,0.329,225.7,465.0,7.4,Overburden_Waste,0,CITZ_Sausar,unknown_non_mn,synthetic_or_unverified,CITZ_Sausar,,True
MN_051_EXT,Sandur Mn Belt Core - Extension Zone,GSI_Extension_Survey,Marketable_Direct,Gondite_Series,15.0833,76.5619,0.75,0.654,0.289,34.9,45.5,0.234,427.5,785.0,26.3,Marketable_Saleable,1,Dharwar,manganese,prototype_positive,Dharwar,,True
WASTE_0036,Nagpur_Quartzite_Interbed_14,IBM_Sterilization_Survey,Overburden_Gangue,Quartzite_Interbed,21.3477,78.9347,0.425,0.399,0.441,28.8,86.9,0.269,122.8,323.0,1.8,Overburden_Waste,0,CITZ_Sausar,unknown_non_mn,synthetic_or_unverified,CITZ_Sausar,,True
MN_028_EXT,Nandgaon Deposit - Extension Zone,GSI_Extension_Survey,Marketable_Direct,Braunite_Series,21.374,80.5035,0.763,0.666,0.287,33.7,47.8,0.275,432.0,360.0,26.9,Marketable_Saleable,1,CITZ_Sausar,manganese,prototype_positive,CITZ_Sausar,,True
MN_055_EXT,Ramgad Low-Grade Body - Extension Zone,GSI_Extension_Survey,Beneficiable_SubEconomic,Gondite_Series,15.1188,76.6298,0.722,0.617,0.314,36.7,39.1,0.26,390.5,806.0,20.4,Beneficiable_MR_Ore,1,Dharwar,manganese,prototype_positive,Dharwar,,True
WASTE_0074,Deccan_Basalt_WesternGhats_12,IBM_Sterilization_Survey,Overburden_Gangue,Deccan_Basalt,18.5822,75.6581,0.358,0.297,0.596,32.3,88.3,0.344,50.6,707.0,2.6,Overburden_Waste,0,Peninsular_Barren,unknown_non_mn,synthetic_or_unverified,Peninsular_Barren,,True
MN_020,Warora Belt Node,MOIL_GSI_Official,Marketable_Direct,Braunite_Series,20.23,79.01,0.764,0.669,0.289,37.3,37.4,0.257,421.7,305.0,27.5,Marketable_Saleable,1,CITZ_Sausar,manganese,prototype_positive,CITZ_Sausar,,True
WASTE_0025,Nagpur_Quartzite_Interbed_3,IBM_Sterilization_Survey,Overburden_Gangue,Quartzite_Interbed,21.226,79.247,0.349,0.29,0.447,29.8,61.6,0.271,190.5,331.0,1.0,Overburden_Waste,0,CITZ_Sausar,unknown_non_mn,synthetic_or_unverified,CITZ_Sausar,,True
MN_047_EXT,Patmunda Beneficiable Ore - Extension Zone,GSI_Extension_Survey,Beneficiable_SubEconomic,Gondite_Series,21.846,85.2902,0.722,0.66,0.27,34.5,45.6,0.278,409.3,534.0,24.2,Beneficiable_MR_Ore,1,Singhbhum,manganese,prototype_positive,Singhbhum,,True
